X,Y,status,ts
-96.617771,32.334194,Open,2020-04-01T15:00:00Z
-85.82463,37.716112,Closed,2020-04-01T15:00:00Z
-83.842565,33.617076,Open,2020-04-01T15:00:00Z
-84.20969,38.007229,Closed,2020-04-01T15:00:00Z
-84.51508,33.58558,Open,2020-04-01T15:00:00Z
-86.216701,32.359604,Open,2020-04-01T15:00:00Z
-84.65309,34.076061,Open,2020-04-01T15:00:00Z
-80.82609,33.555433,Open,2020-04-01T15:00:00Z
-84.1181,33.6991,Open,2020-04-01T15:00:00Z
-86.686115,36.153582,Open,2020-04-01T15:00:00Z
-87.205707,30.417023,Open,2020-04-01T15:00:00Z
-78.846366,38.433917,Open,2020-04-01T15:00:00Z
-81.49602084,30.06507888,Open,2020-04-01T15:00:00Z
-85.07429,34.890498,Closed,2020-04-01T15:00:00Z
-80.47513,33.48737,Open,2020-04-01T15:00:00Z
-84.5568,34.014383,Open,2020-04-01T15:00:00Z
-93.981203,29.938345,Open,2020-04-01T15:00:00Z
-96.04752713,36.07901605,Open,2020-04-01T15:00:00Z
-81.14674,35.269186,Open,2020-04-01T15:00:00Z
-79.03938,38.130464,Closed,2020-04-01T15:00:00Z
-84.315315,39.297049,Closed,2020-04-01T15:00:00Z
-83.272398,30.752605,Open,2020-04-01T15:00:00Z
-96.59583,32.78949,Open,2020-04-01T15:00:00Z
-85.044651,35.998307,Closed,2020-04-01T15:00:00Z
-104.979638,39.84937,Closed,2020-04-01T15:00:00Z
-80.792883,28.359513,Open,2020-04-01T15:00:00Z
-93.089792,34.444636,Closed,2020-04-01T15:00:00Z
-82.256433,34.718222,Open,2020-04-01T15:00:00Z
-86.56918,30.72237,Open,2020-04-01T15:00:00Z
-92.224131,34.714613,Open,2020-04-01T15:00:00Z
-84.52947,33.998294,Open,2020-04-01T15:00:00Z
-81.67393,33.664706,Open,2020-04-01T15:00:00Z
-81.471042,28.325519,Closed,2020-04-01T15:00:00Z
-84.646155,35.465022,Open,2020-04-01T15:00:00Z
-82.51286,27.527406,Open,2020-04-01T15:00:00Z
-95.763257,36.164306,Closed,2020-04-01T15:00:00Z
-87.22521083,36.52482591,Closed,2020-04-01T15:00:00Z
-84.603202,34.005072,Open,2020-04-01T15:00:00Z
-82.026817,33.409408,Open,2020-04-01T15:00:00Z
-83.873202,33.605394,Closed,2020-04-01T15:00:00Z
-85.38216,35.017274,Open,2020-04-01T15:00:00Z
-93.225684,37.179817,Closed,2020-04-01T15:00:00Z
-84.41177,33.96421,Closed,2020-04-01T15:00:00Z
-81.23278,33.955482,Open,2020-04-01T15:00:00Z
-83.76287,34.115669,Open,2020-04-01T15:00:00Z
-81.504559,28.37929,Closed,2020-04-01T15:00:00Z
-82.45550532,27.26926047,Closed,2020-04-01T15:00:00Z
-84.973623,33.041726,Open,2020-04-01T15:00:00Z
-84.59226,34.056233,Open,2020-04-01T15:00:00Z
-80.937776,34.084396,Open,2020-04-01T15:00:00Z
-86.18789,39.693426,Closed,2020-04-01T15:00:00Z
-82.08799,33.48239,Open,2020-04-01T15:00:00Z
-85.02922,32.98642,Open,2020-04-01T15:00:00Z
-85.133051,35.061556,Closed,2020-04-01T15:00:00Z
-82.350968,28.235818,Open,2020-04-01T15:00:00Z
-82.461201,34.774869,Open,2020-04-01T15:00:00Z
-76.252751,36.767402,Open,2020-04-01T15:00:00Z
-83.20496,35.946353,Open,2020-04-01T15:00:00Z
-84.45261848,38.07786066,Open,2020-04-01T15:00:00Z
-94.13583,30.067908,Closed,2020-04-01T15:00:00Z
-80.711961,32.879903,Open,2020-04-01T15:00:00Z
-84.940576,33.724349,Closed,2020-04-01T15:00:00Z
-80.603771,33.19458,Open,2020-04-01T15:00:00Z
